date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:29	728/728	U-----	200	untouched ('OK')	text/plain	etag:%2282f-620028587f396%22	https://www.dhs.gov/robots.txt		(from )
16:39:29	95203/95203	U-----	200	untouched ('OK')	text/html	etag:%221741908152%22	https://www.dhs.gov/publication/dhs-language-access-plans	D:/websites/dhs.gov/www.dhs.gov/publication/dhs-language-access-plans.html	(from )
16:39:30	239934/239934	U-----	200	untouched ('')	application/javascript	etag:%223a93e-6300f05fb35c0%22	https://www.dhs.gov/sites/default/files/google_analytics/gtag.js?st2xsw	D:/websites/dhs.gov/www.dhs.gov/sites/default/files/google_analytics/gtag19bc.js	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:39:30	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2013%20Mar%202025%2023:39:30%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/websites/dhs.gov/www.googletagmanager.com/gtm.25445.delayed	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:39:31	1532/1532	U-----	200	untouched ('OK')	text/css	etag:%225fc-62fc1e3f3f731%22	https://www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/core.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/core19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:39:31	70858/70858	---M--	404	error ('Not%20Found')	text/html	etag:%221741908826%22	https://www.dhs.gov/publication/ak.m	D:/websites/dhs.gov/www.dhs.gov/publication/ak.m	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:39:31	1470/1470	U-----	200	untouched ('OK')	text/css	etag:%225be-62ffda14c4acc%22	https://www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/controlgroup.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/controlgroup19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:39:31	70858/70858	---M--	404	error ('Not%20Found')	text/html	etag:%221741908828%22	https://www.dhs.gov/publication/ak.t	D:/websites/dhs.gov/www.dhs.gov/publication/ak.t	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:40:23	792/792	U-----	200	untouched ('OK')	text/css	etag:%22318-62fc1e3f3f731%22	https://www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/checkboxradio.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/checkboxradio19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:40:23	1175/1175	U-----	200	untouched ('OK')	text/css	etag:%22497-63013db2a6eb7%22	https://www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/resizable.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/resizable19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:40:23	1756/1756	U-----	200	untouched ('OK')	text/css	etag:%226dc-62ffda14c4acc%22	https://www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/dialog.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/dialog19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:40:23	1407/1407	U-----	200	untouched ('OK')	text/css	etag:%2257f-630111d4e62be%22	https://www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/button.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/core/assets/vendor/jquery.ui/themes/base/button19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:41:14	1035/1035	U-----	200	untouched ('OK')	text/css	etag:%2240b-62ffda174d9ae%22	https://www.dhs.gov/themes/contrib/stable/css/core/components/ajax-progress.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/core/components/ajax-progress.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
16:41:14	826/826	U-----	200	untouched ('OK')	text/css	etag:%2233a-63013db4f5fc0%22	https://www.dhs.gov/themes/contrib/stable/css/core/components/progress.module.css?st2xsw	D:/websites/dhs.gov/www.dhs.gov/themes/contrib/stable/css/core/components/progress.module19bc.css	(from https://www.dhs.gov/publication/dhs-language-access-plans)
